,Nativity,Total,Patients,Longitude,Latitude,Color
3,West Virginia,1,1-2 patients,-80.4549,38.5976,#440154
4,Illinois,1,1-2 patients,-89.3985,40.6331,#440154
6,Maryland,1,1-2 patients,-76.6413,39.0458,#440154
10,Georgia,1,1-2 patients,-82.9071,32.1574,#440154
11,Russia,1,1-2 patients,105.3188,61.524,#440154
12,Austria,1,1-2 patients,14.5501,47.5162,#440154
13,Germany,2,1-2 patients,10.4515,51.1657,#440154
14,Kansas,1,1-2 patients,-98.4842,39.0119,#440154
1,New Jersey,5,3-5 patients,-74.4057,40.0583,#31688e
2,New York,4,3-5 patients,-74.2179,43.2994,#31688e
8,Ireland,4,3-5 patients,-7.3055,53.7798,#31688e
9,England,4,3-5 patients,-1.1743,52.3555,#31688e
0,Pennsylvania,61,11-100 patients,-77.1945,41.2033,#fde725
